Number,Frecuencia
311,0.0001296775814441327
312,0.0001656504397700984
313,0.00014290065542624085
314,0.0001654980124043104
315,0.00010140230509046049
316,0.0001433198306821578
317,0.00013021107722439065
318,0.0001420241980729599
319,0.00017803516324037258
320,0.00011889334531463237
321,0.00020162329809606406
322,0.00012861058988361676
323,0.00015033148950840535
324,0.00013066835932175463
325,0.00017201428229174698
326,0.00020985437584861554
327,0.00011447295170678066
328,0.000140385603890739
329,0.000140614244939421
330,0.00015322760945837719
331,0.00012380912786129507
332,0.00011443484486533367
333,0.00012460937153168202
334,0.00011824552901003341
335,0.00011458727223112166
336,0.00013348826558883244
337,0.00016972787180492713
338,0.0001575336825418879
339,0.00011668314851070652
340,0.00013497443240526535
341,0.00023111799337604017
342,0.00025611608136527056
343,0.00016953733759769214
344,0.00018310337315282326
345,0.00020185193914474606
346,0.00021926676568602394
347,0.0001964026608178254
348,0.00019346843402640658
349,0.00017018515390229108
350,0.00019045799355209378
351,0.00019548809662309747
352,0.00025783088923038547
353,0.0001699184060121621
354,0.00018767619412646296
355,0.0001765871032653867
356,0.00015799096463925186
357,0.00015669533203005394
358,0.00012560014940930396
359,0.00014892153637486644
360,0.00016172543510105763
361,0.00012270402945933212
362,0.00017563443222921174
363,0.0002776464467828242
364,0.00015787664411491087
365,0.0003323297642592657
366,0.00014099531335389095
367,0.00012407587575142404
368,0.00017247156438911094
369,0.0001278484530546768
370,0.0001853897836396431
371,0.00019842232341451627
372,0.00016100140511356468
373,0.0001432817238407108
374,0.00012186567894749818
375,0.0001468637669367286
376,0.0001760536074851287
377,0.00010170715982203647
378,0.0001450346385472727
379,0.00012068436686264126
380,0.00014297686910913482
381,0.00010955716916011797
382,0.00013672734711182724
383,0.00011683557587649451
384,0.00015040770319129935
385,0.00012609553834811493
386,0.00011641640062057753
387,0.00011763581954688146
388,0.00014442492908412074
389,0.00014915017742354845
390,0.00013775623183089617
391,0.0001185122769001624
392,8.856029952282232e-05
393,0.00013649870606314524
394,0.00013992832179337503
395,0.00012880112409085175
396,0.00010003045879836859
397,0.00010326954032136338
398,0.000124571264690235
399,0.00011371081487784071
400,0.00016622204239180333
401,9.130399210700614e-05
402,0.0001447678906571437
403,0.00010647051500291117
404,0.0001422147322801949
405,0.00013665113342893324
406,0.00013676545395327423
407,0.00036418708370895565
408,0.00014030939020784501
409,0.0004241672521465298
410,0.00014240526648742988
411,0.00013207831245529354
412,0.00013337394506449145
413,0.0001028503650654464
414,0.00012117975580145223
415,0.0001418336638657249
416,9.656273622669181e-05
417,0.00011332974646337073
418,0.00014240526648742988
419,0.00010117366404177852
420,0.00010887124601407202
421,9.778215515299572e-05
422,0.00010563216449107722
423,0.00015216061789786125
424,0.00016187786246684563
425,0.00011310110541468875
426,0.00012091300791132325
427,0.00012662903412837288
428,0.00012369480733695406
429,0.00011428241749954566
430,0.00012255160209354414
431,0.00015132226738602729
432,0.00015665722518860695
433,0.0001123008617443018
434,0.00012251349525209716
435,0.00010521298923516025
436,0.00011645450746202453
437,0.00014937881847223043
438,0.00011409188329231069
439,8.494014958535755e-05
440,0.00010536541660094824
441,0.0001296013677612387
442,0.00010174526666348347
443,0.00012190378578894519
444,9.50384625688119e-05
445,0.00010338386084570437
446,0.00014263390753611185
447,0.00012030329844817129
448,0.00019144877142971572
449,0.00014366279225518078
450,9.709623200694978e-05
451,0.00010563216449107722
452,9.888725355495866e-05
453,0.0001139394559265227
454,0.00013466957767368937
455,0.00010052584773717956
456,0.0001369940950019562
457,8.970350476623225e-05
458,0.00010513677555226625
459,0.0005852067641015415
460,0.00019887960551188025
461,0.00023504299804508094
462,9.694380464116179e-05
463,0.0005034675891977317
464,0.0001453013864374017
465,0.000218314094649849
466,0.00011855038374160939
467,0.0004707338123947608
468,0.00013524118029539434
469,0.00011348217382915872
470,9.244719735041607e-05
471,0.00011207222069561981
472,0.00013379312032040842
473,0.0001573812551760999
474,0.0001340979750519844
475,0.00015665722518860695
476,0.00014728294219264556
477,0.00014130016808546695
478,0.00012365670049550707
479,0.00013318341085725646
480,0.00010936663495288299
481,0.00012548582888496294
482,0.00011191979332983182
483,0.0001340598682105374
484,0.00012476179889747
485,9.454307363000093e-05
486,0.00013024918406583764
487,0.00011992223003370131
488,0.0001044508524062203
489,0.00012064626002119427
490,0.00013813730024536615
491,0.00011973169582646632
492,0.00010406978399175033
493,0.00011089090861076289
494,0.00011443484486533367
495,0.00011592101168176656
496,9.599113360498684e-05
497,0.00017380530383975587
498,0.0001387089028670711
499,0.00010692779710027514
500,0.00011874091794884438
501,9.172316736292312e-05
502,0.0002484566062344241
503,8.215835015972673e-05
504,0.00012910597882242772
505,8.26918459399847e-05
506,0.00011352028067060572
507,0.0010929042126998898
508,9.313312049646203e-05
509,0.00035961426273531594
510,0.00010403167715030333
511,0.0009181081309825121
512,0.0001699946196950561
513,0.0002475420420396961
514,0.00010647051500291117
515,8.387315802484163e-05
516,0.00010932852811143599
517,0.00010837585707526106
518,0.00011649261430347153
519,9.724865937273777e-05
520,0.00010052584773717956
521,9.873482618917067e-05
522,9.774404831154874e-05
523,0.0001013641982490135
524,9.484792836157691e-05
525,8.551175220706252e-05
526,8.402558539062962e-05
527,9.846807829904168e-05
528,9.561006519051687e-05
529,0.00011199600701272581
530,0.00020703446958153773
531,9.766783462865473e-05
532,9.808700988457172e-05
533,8.208213647683274e-05
534,0.00011656882798636552
535,0.00011432052434099267
536,0.00013581278291709928
537,0.0001184741700587154
538,0.00015334192998271817
539,9.926832196942863e-05
540,0.00014568245485187167
541,0.00013764191130655518
542,0.0001887812925284259
543,0.00012114164896000522
544,9.717244568984377e-05
545,9.957317670100461e-05
546,0.00012274213630077913
547,0.0001325737013941045
548,8.295859383011368e-05
549,0.0001235042731297191
550,0.00010250740349242343
551,0.00013356447927172644
552,0.0001340217613690904
553,0.0001578004304320169
554,0.00011424431065809868
555,9.381904364250799e-05
556,9.126588526555914e-05
557,0.00015490431048204506
558,0.00011424431065809868
559,9.393336416684898e-05
560,0.00010959527600156497
561,0.00017609171432657572
562,9.926832196942863e-05
563,0.00013802297972102516
564,0.0001387089028670711
565,0.00011580669115742557
566,8.836976531558733e-05
567,0.00014762590376566853
568,0.00019617401976914343
569,6.2457113131629e-05
570,9.637220201945682e-05
571,0.00012354237997116608
572,8.57785000971915e-05
573,0.00013482200503947734
574,8.025300808737686e-05
575,0.0001060132329055472
576,9.751540726286675e-05
577,0.00013367879979606743
578,8.238699120840872e-05
579,9.648652254379781e-05
580,7.548965290650216e-05
581,0.00014000453547626904
582,0.00010239308296808243
583,7.884305495383794e-05
584,7.522290501637318e-05
585,9.724865937273777e-05
586,9.332365470369702e-05
587,0.0001230850978738021
588,9.107535105832417e-05
589,0.0002695677963960607
590,0.000202957037546709
591,0.00013950914653745807
592,9.320933417935602e-05
593,9.755351410431375e-05
594,0.00010342196768715137
595,8.524500431693353e-05
596,9.286637260633305e-05
597,0.00010589891238120621
598,7.8004704442004e-05
599,7.575640079663114e-05
600,8.859840636426932e-05
601,0.00010044963405428556
602,7.983383283145988e-05
603,0.00013806108656247215
604,9.244719735041607e-05
605,9.381904364250799e-05
606,0.00010098312983454353
607,0.00012822952146914678
608,0.0003963873647316686
609,0.00023367115175298902
610,0.00014373900593807478
611,0.0001310113208947776
612,8.311102119590167e-05
613,0.00011028119914761093
614,8.238699120840872e-05
615,0.00010201201455361246
616,0.0001028503650654464
617,9.793458251878373e-05
618,6.748721620263267e-05
619,0.00010140230509046049
620,6.924013090919456e-05
621,7.979572599001289e-05
622,7.564208027229015e-05
623,9.934453565232263e-05
624,8.375883750050062e-05
625,0.00010807100234368506
626,0.00026846269799409776
627,0.0001513984810689213
628,9.080860316819517e-05
629,0.0001807407489831094
630,9.557195834906987e-05
631,0.0001775397743015616
632,0.00013619385133156926
633,0.0001262860725553499
634,7.02690156282635e-05
635,0.00010422221135753832
636,7.507047765058518e-05
637,8.966539792478525e-05
638,8.520689747548653e-05
